relative_path,name,type,depth,role,stage_or_scope,formal_status,used_by_current_pipeline,current_pipeline_blocker,reason,recommended_action
outputs/activity_points_osm_nlsc_corrected_v1_linked_qa,activity_points_osm_nlsc_corrected_v1_linked_qa,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1_qa_map,activity_points_osm_nlsc_corrected_v1_qa_map,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1_qa_map_light,activity_points_osm_nlsc_corrected_v1_qa_map_light,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1b,activity_points_osm_nlsc_corrected_v1b,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1b_linked_qa,activity_points_osm_nlsc_corrected_v1b_linked_qa,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1b_offset10,activity_points_osm_nlsc_corrected_v1b_offset10,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1b_offset10_linked_qa,activity_points_osm_nlsc_corrected_v1b_offset10_linked_qa,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1b_offset15,activity_points_osm_nlsc_corrected_v1b_offset15,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1b_offset15_linked_qa,activity_points_osm_nlsc_corrected_v1b_offset15_linked_qa,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1b_offset3,activity_points_osm_nlsc_corrected_v1b_offset3,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1b_offset5,activity_points_osm_nlsc_corrected_v1b_offset5,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1b_offset5_linked_qa,activity_points_osm_nlsc_corrected_v1b_offset5_linked_qa,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1c_linked_qa,activity_points_osm_nlsc_corrected_v1c_linked_qa,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1c_refit_mainline,activity_points_osm_nlsc_corrected_v1c_refit_mainline,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3,activity_points_osm_nlsc_corrected_v1c_refit_mainline_offset3,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1c_refit_target_qa_offset3,activity_points_osm_nlsc_corrected_v1c_refit_target_qa_offset3,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1d_refit_target_qa_offset3,activity_points_osm_nlsc_corrected_v1d_refit_target_qa_offset3,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1d_summit_aware_refit_offset3,activity_points_osm_nlsc_corrected_v1d_summit_aware_refit_offset3,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1e_orange_segment_diagnosis,activity_points_osm_nlsc_corrected_v1e_orange_segment_diagnosis,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1e_recover_isolated_orange_offset3,activity_points_osm_nlsc_corrected_v1e_recover_isolated_orange_offset3,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1e_refit_target_qa_offset3,activity_points_osm_nlsc_corrected_v1e_refit_target_qa_offset3,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1f_refit_target_qa_offset3,activity_points_osm_nlsc_corrected_v1f_refit_target_qa_offset3,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1f_route_corridor_diagnosis,activity_points_osm_nlsc_corrected_v1f_route_corridor_diagnosis,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1f_safe_corridor_recovery_offset3,activity_points_osm_nlsc_corrected_v1f_safe_corridor_recovery_offset3,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1g_final_consolidated,activity_points_osm_nlsc_corrected_v1g_final_consolidated,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1g_route_phase_aware_recovery_offset3,activity_points_osm_nlsc_corrected_v1g_route_phase_aware_recovery_offset3,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1g_route_phase_aware_recovery_reviewed,activity_points_osm_nlsc_corrected_v1g_route_phase_aware_recovery_reviewed,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1g_route_phase_diagnosis,activity_points_osm_nlsc_corrected_v1g_route_phase_diagnosis,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1g_route_phase_diagnosis_batch,activity_points_osm_nlsc_corrected_v1g_route_phase_diagnosis_batch,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1h_remaining_orange_block_diagnosis,activity_points_osm_nlsc_corrected_v1h_remaining_orange_block_diagnosis,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1h_reviewed_recovery,activity_points_osm_nlsc_corrected_v1h_reviewed_recovery,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_points_osm_nlsc_corrected_v1h_reviewed_recovery_dryrun,activity_points_osm_nlsc_corrected_v1h_reviewed_recovery_dryrun,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/activity_standardized,activity_standardized,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/adaptive_speed_threshold_qa_v1,adaptive_speed_threshold_qa_v1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ai_engineer_handoff_dataset_v1,ai_engineer_handoff_dataset_v1,dir,2,AUDIT_EVIDENCE,"handoff inventory evidence, not formal pipeline output",current_reference,yes,no,listed formal/reference root,keep as current evidence/root
outputs/contour_enriched_output,contour_enriched_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/debug_37_1_route_dist_jumps.csv,debug_37_1_route_dist_jumps.csv,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/debug_37_1_route_dist_progression_rows_3500_5900.csv,debug_37_1_route_dist_progression_rows_3500_5900.csv,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/debug_37_1_route_dist_progression_sample25_3500_5900.csv,debug_37_1_route_dist_progression_sample25_3500_5900.csv,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/debug_37_1_v2_progress_state_3790_5175.csv,debug_37_1_v2_progress_state_3790_5175.csv,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/debug_37_1_v3_progress_state_3790_5175.csv,debug_37_1_v3_progress_state_3790_5175.csv,file,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ia1_convergence_audit_v1_3b,ia1_convergence_audit_v1_3b,dir,2,AUDIT_EVIDENCE,IA1 convergence audit,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib0_gpx_osm_match_output,ib0_gpx_osm_match_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0_route_axis_v1_3b_convergence_audit,ib0_route_axis_v1_3b_convergence_audit,dir,2,AUDIT_EVIDENCE,IA1-IB0D convergence audit,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib0_route_match,ib0_route_match,dir,2,FORMAL_OUTPUT,IB0 route match output,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib0_route_match_convergence_audit_v1_3b,ib0_route_match_convergence_audit_v1_3b,dir,2,AUDIT_EVIDENCE,IB0 route match convergence audit,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib0_route_match_v1_1,ib0_route_match_v1_1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0a2_route_axis_anchor_component_qa,ib0a2_route_axis_anchor_component_qa,dir,2,FORMAL_OUTPUT,IB0A-2 route-axis anchor/component QA,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib0a_control_points_osm_projection,ib0a_control_points_osm_projection,dir,2,FORMAL_OUTPUT,IB0A control point projection; PARTIAL/non-blocking,partial,reference,no,listed formal/reference root,keep as current evidence/root
outputs/ib0a_control_points_osm_projection_v1_1,ib0a_control_points_osm_projection_v1_1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0a_control_points_projection_convergence_audit_v1_3b,ib0a_control_points_projection_convergence_audit_v1_3b,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
outputs/ib0a_prune,ib0a_prune,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0b_mainline,ib0b_mainline,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0b_mainline_control_point_constrained,ib0b_mainline_control_point_constrained,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0b_mainline_control_point_constrained_v1_1,ib0b_mainline_control_point_constrained_v1_1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0b_mainline_forced_required_way_test,ib0b_mainline_forced_required_way_test,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0b_mainline_required_way_qa,ib0b_mainline_required_way_qa,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0b_mainline_route_definition_v1_3b,ib0b_mainline_route_definition_v1_3b,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0b_mainline_route_definition_v1_3b_anchor_only_retry,ib0b_mainline_route_definition_v1_3b_anchor_only_retry,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0b_mainline_route_definition_v1_3b_control_points_only,ib0b_mainline_route_definition_v1_3b_control_points_only,dir,2,FORMAL_OUTPUT,IB0B control-points-only route axis,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib0b_mainline_route_definition_v1_3b_control_points_only_snap20,ib0b_mainline_route_definition_v1_3b_control_points_only_snap20,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0b_mainline_v1_1,ib0b_mainline_v1_1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0b_output,ib0b_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0b_route_definition_inputs_v1_3b,ib0b_route_definition_inputs_v1_3b,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0c_anchor,ib0c_anchor,dir,2,REFERENCE,"IB0C anchors; legacy/QA only, not formal trim authority",legacy_reference,reference,no,listed formal/reference root,review manually
outputs/ib0c_anchor_convergence_audit_v1_3b,ib0c_anchor_convergence_audit_v1_3b,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
outputs/ib0c_anchor_output,ib0c_anchor_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0d_convergence_audit_v1_3b_reviewed_pass_warn,ib0d_convergence_audit_v1_3b_reviewed_pass_warn,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
outputs/ib0d_output,ib0d_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0d_trimmed_mainline,ib0d_trimmed_mainline,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0d_trimmed_mainline_forced_required_way_test,ib0d_trimmed_mainline_forced_required_way_test,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0d_trimmed_mainline_v1_1,ib0d_trimmed_mainline_v1_1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0d_trimmed_mainline_v1_3b_control_points_only,ib0d_trimmed_mainline_v1_3b_control_points_only,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa,ib0d_trimmed_mainline_v1_3b_control_points_only_contract_qa,dir,2,FORMAL_OUTPUT,IB0D contract QA; formal IB1 input,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib1_contour_features,ib1_contour_features,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1_output,ib1_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1_route_profile,ib1_route_profile,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1_route_profile_forced_required_way_test,ib1_route_profile_forced_required_way_test,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1_route_profile_output,ib1_route_profile_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1_route_profile_v1_1,ib1_route_profile_v1_1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1_route_profile_v1_3b_contract_qa,ib1_route_profile_v1_3b_contract_qa,dir,2,FORMAL_OUTPUT,IB1A route profile,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib1_v1_3b_contract_qa_pipeline_summary,ib1_v1_3b_contract_qa_pipeline_summary,dir,2,AUDIT_EVIDENCE,IB1 pipeline summary,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib1a_route_elevation_profile_output,ib1a_route_elevation_profile_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1b_route_profile_attribute_output,ib1b_route_profile_attribute_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_osm_semantic_audit,ib1c_osm_semantic_audit,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_osm_semantic_audit_forced_required_way_test,ib1c_osm_semantic_audit_forced_required_way_test,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_osm_semantic_audit_v1_1,ib1c_osm_semantic_audit_v1_1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_osm_semantic_audit_v1_3b_contract_qa,ib1c_osm_semantic_audit_v1_3b_contract_qa,dir,2,AUDIT_EVIDENCE,IB1C semantic audit,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib1c_osm_semantic_risk,ib1c_osm_semantic_risk,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_osm_semantic_risk_forced_required_way_test,ib1c_osm_semantic_risk_forced_required_way_test,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_osm_semantic_risk_plot,ib1c_osm_semantic_risk_plot,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_osm_semantic_risk_v1_1,ib1c_osm_semantic_risk_v1_1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_osm_semantic_risk_v1_3b_contract_qa,ib1c_osm_semantic_risk_v1_3b_contract_qa,dir,2,FORMAL_OUTPUT,IB1C semantic risk output,current_warn,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib1c_route_profile_semantic_output,ib1c_route_profile_semantic_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_route_profile_semantics,ib1c_route_profile_semantics,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_route_profile_semantics_forced_required_way_test,ib1c_route_profile_semantics_forced_required_way_test,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_route_profile_semantics_v1_1,ib1c_route_profile_semantics_v1_1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_route_profile_semantics_v1_3b_contract_qa,ib1c_route_profile_semantics_v1_3b_contract_qa,dir,2,FORMAL_OUTPUT,IB1C OSM semantics,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib1c_semantic_risk_mapping_coverage_audit_v1_3b,ib1c_semantic_risk_mapping_coverage_audit_v1_3b,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1c_semantic_risk_mapping_coverage_audit_v1_3b_mapping_v1_2_updated,ib1c_semantic_risk_mapping_coverage_audit_v1_3b_mapping_v1_2_updated,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1d_route_profile_semantic_plot_output,ib1d_route_profile_semantic_plot_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1e_osm_nlsc_terrain_risk,ib1e_osm_nlsc_terrain_risk,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1e_osm_nlsc_terrain_risk_plot,ib1e_osm_nlsc_terrain_risk_plot,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1e_osm_nlsc_terrain_risk_plot_forced_required_way_test,ib1e_osm_nlsc_terrain_risk_plot_forced_required_way_test,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1e_osm_nlsc_terrain_risk_plot_v1_3b_contract_qa,ib1e_osm_nlsc_terrain_risk_plot_v1_3b_contract_qa,dir,2,INHERITED,inherits role from nearest known parent,review_parent,maybe,no,not a specifically classified root,review manually
outputs/ib1e_osm_terrain_risk_plot,ib1e_osm_terrain_risk_plot,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1e_route_profile_contour_window_terrain,ib1e_route_profile_contour_window_terrain,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1e_route_profile_contour_window_terrain_forced_required_way_test,ib1e_route_profile_contour_window_terrain_forced_required_way_test,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1e_route_profile_contour_window_terrain_v1_1,ib1e_route_profile_contour_window_terrain_v1_1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1e_route_profile_contour_window_terrain_v1_3b_contract_qa,ib1e_route_profile_contour_window_terrain_v1_3b_contract_qa,dir,2,FORMAL_OUTPUT,IB1E formal IB2 input,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib1e_route_profile_nlsc_output,ib1e_route_profile_nlsc_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1e_route_profile_nlsc_terrain,ib1e_route_profile_nlsc_terrain,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1g_contour_window_features,ib1g_contour_window_features,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1g_contour_window_features_forced_required_way_test,ib1g_contour_window_features_forced_required_way_test,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1g_contour_window_features_v1_1,ib1g_contour_window_features_v1_1,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1g_contour_window_features_v1_3b_contract_qa,ib1g_contour_window_features_v1_3b_contract_qa,dir,2,FORMAL_OUTPUT,IB1G NLSC contour window features,current,yes,no,listed formal/reference root,keep as current evidence/root
outputs/ib1g_mainline_contour_output,ib1g_mainline_contour_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1g_v2_output,ib1g_v2_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1h_contour_window_profile_output,ib1h_contour_window_profile_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1h_v2_contour_window_profile_output,ib1h_v2_contour_window_profile_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1i_gpx_vs_contour_validation,ib1i_gpx_vs_contour_validation,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
outputs/ib1i_validation_output,ib1i_validation_output,dir,2,LEGACY_OR_EXPERIMENTAL_OUTPUT,older/non-current output root,review_before_use,no,no,not listed as current formal root,do not use as current formal input
